id,count
3169,940
3868,940
3858,938
3925,938
2959,935
3523,933
1096,932
1403,932
3833,932
2471,929
3243,928
3888,928
3103,926
3815,926
2621,923
3728,923
187,921
1851,921
3605,921
3839,921
4063,921
3484,919
2368,915
2355,912
3853,911
3236,909
3864,905
1113,904
3863,904
3911,904
4099,904
3801,903
2799,902
633,901
726,901
3018,901
1888,895
3036,893
3572,893
3993,891
2912,890
3895,888
3701,887
2937,886
3602,885
3855,885
2263,883
2788,882
3476,882
2508,881
1444,879
3940,878
3902,877
1476,874
3697,874
174,873
3978,873
649,870
3821,869
663,867
3449,867
1351,864
511,863
3430,863
2966,862
3987,862
2967,861
3783,860
2850,859
2759,857
3816,856
3877,856
3886,856
3043,855
3254,855
2913,851
1018,850
3896,850
3930,849
3946,849
3807,847
3985,847
1430,844
2444,844
3393,843
3577,843
2919,841
3941,841
644,840
2723,840
1411,839
3969,839
2645,838
1360,837
1799,837
1445,835
1237,834
3831,832
3851,831
4016,831
3242,828
3575,828
2751,827
2769,827
2900,825
2870,824
2209,823
3480,823
3953,823
3494,821
3515,818
4042,818
3914,817
485,815
3420,814
749,812
1264,812
3513,812
628,811
3645,811
3820,811
1353,810
2451,810
3812,810
1485,809
1998,807
1480,805
2478,805
2533,804
3967,804
1300,803
2030,802
2923,801
3245,801
3714,801
3897,799
3529,798
4093,796
2495,794
3453,794
2103,792
3837,792
3923,792
839,791
3478,791
2581,790
3192,790
2502,789
3690,789
3882,789
1155,788
2378,788
3890,788
1188,787
3503,787
3459,786
3614,786
4014,782
2184,780
3638,779
3752,777
4024,777
3608,776
3949,776
2080,775
2266,775
3825,775
3843,771
3990,771
1713,770
3898,769
3544,768
3943,768
3567,767
3675,766
2619,765
2253,764
2560,764
3118,764
3832,764
3745,763
3451,762
2600,761
3810,760
892,758
998,758
2914,758
3970,758
3056,757
3994,757
3917,756
3968,756
3318,755
3731,755
1798,751
3854,751
3959,751
3181,750
3741,750
1385,749
3884,748
2843,747
3976,747
1849,746
4012,746
2846,745
3866,745
1311,744
3457,744
1427,743
3391,743
3979,742
2853,741
2136,737
1748,736
2689,736
3301,736
3077,735
3742,734
3881,733
3956,733
1348,732
3362,732
3871,732
717,730
2564,730
3887,730
3074,729
2829,727
1357,724
3090,723
2894,722
3939,722
4077,722
3797,721
3804,720
2952,719
4047,719
3789,718
2028,717
3876,717
1486,716
3365,716
3859,716
4005,716
1478,715
2897,714
3644,714
3975,713
3995,713
365,712
671,712
1407,712
1742,712
3226,710
3867,710
3869,710
1229,709
3874,709
747,708
3022,708
1889,707
2687,707
2817,707
3756,707
2628,706
3746,701
1256,699
1479,699
1864,699
2249,699
1252,698
1856,698
2903,698
2790,696
3229,696
722,694
1548,694
2904,692
3426,692
3546,692
3689,691
3702,691
3076,689
621,688
107,687
816,687
2648,684
4045,683
1949,682
3573,682
899,681
3849,679
3900,679
2362,678
3981,678
4028,678
3486,677
3918,677
1297,676
2161,676
3842,676
4117,676
3713,675
3053,673
3126,673
4007,673
1601,671
3935,671
4026,670
3120,669
3738,669
1332,668
3684,668
3805,668
1131,667
1197,667
929,666
3436,666
2022,665
4043,665
2722,664
3950,664
2169,663
2575,663
3796,663
548,662
1124,662
1227,662
2401,662
4025,662
139,661
719,661
3223,661
3817,661
3920,661
2659,660
3590,660
3847,659
4031,659
2012107,658
1554,657
3929,657
182,656
1178,656
3340,656
1518,655
2349,655
3809,655
1508,654
1924,654
3619,653
731,652
1116,651
3220,651
3934,651
544,649
2382,649
1614,648
2633,648
3166,648
3491,648
3782,648
3846,647
2233,646
3687,646
3848,646
3660,645
3955,645
1183,644
2255,644
651,641
1260,641
1350,641
2942,641
3231,641
3651,640
2608,639
2971,639
3479,638
3489,638
640,637
2848,637
3695,637
3324,636
1520,634
